St;Max;St;Anz1
1069;3208;1069;24
1070;3616;1070;24
1071;10852;1071;169
1072;1072;1072;32
1073;3220;1073;24
1074;1816;1074;24
1075;4840;1075;24
1076;1076;1076;32
1077;3232;1077;32
1078;9232;1078;50
1079;9232;1079;50
1080;1080;1080;45
1081;9232;1081;138
1082;1624;1082;45
1083;9232;1083;138
1084;2752;1084;45
1085;3256;1085;45
1086;9232;1086;138
1087;24784;1087;138
1088;1088;1088;19
1089;3268;1089;45
1090;1636;1090;45
1091;4912;1091;45
1092;1092;1092;32
1093;3280;1093;32
1094;2464;1094;32
1095;7396;1095;76
1096;9232;1096;94
1097;9232;1097;138
1098;9232;1098;94
1099;4948;1099;32
1100;9232;1100;94
1101;9232;1101;94
1102;4192;1102;45
1103;11176;1103;45
1104;1104;1104;19
1105;9232;1105;94
1106;9232;1106;138
1107;9232;1107;138
1108;1108;1108;19
1109;3328;1109;19
1110;2500;1110;32
1111;7504;1111;32
1112;1112;1112;45
1113;9232;1113;138
1114;1672;1114;45
1115;14308;1115;94
1116;1888;1116;45
1117;3352;1117;45
1118;8080;1118;89
1119;17008;1119;89
1120;1120;1120;19
1121;4264;1121;45
1122;1684;1122;45
1123;5056;1123;45
1124;1124;1124;45
1125;3376;1125;45
1126;2536;1126;45
1127;21688;1127;138
1128;1128;1128;19
1129;8584;1129;37
1130;1696;1130;19
1131;5092;1131;37
1132;9232;1132;63
1133;9232;1133;63
1134;9232;1134;63
1135;14560;1135;63
1136;9232;1136;107
1137;3412;1137;19
1138;2752;1138;58
1139;5128;1139;58
1140;9232;1140;107
1141;9232;1141;107
1142;2896;1142;32
1143;7720;1143;32
1144;9232;1144;107
1145;9232;1145;151
1146;9232;1146;107
1147;5812;1147;58
1148;4372;1148;45
1149;4372;1149;45
1150;13120;1150;45
1151;39364;1151;58
1152;1152;1152;27
1153;9232;1153;151
1154;1732;1154;32
1155;5200;1155;32
1156;1156;1156;32
1157;3472;1157;32
1158;2608;1158;32
1159;7828;1159;58
1160;9232;1160;120
1161;190996;1161;182
1162;9232;1162;120
1163;9232;1163;151
1164;9232;1164;120
1165;9232;1165;120
1166;3940;1166;32
1167;11824;1167;32
1168;9232;1168;120
1169;3508;1169;58
1170;2968;1170;58
1171;5272;1171;58
1172;9232;1172;120
1173;9232;1173;120
1174;9232;1174;120
1175;9232;1175;120
1176;9232;1176;120
1177;3976;1177;32
1178;9232;1178;120
1179;13444;1179;58
1180;2248;1180;58
1181;3544;1181;58
1182;5992;1182;58
1183;45520;1183;89
1184;1184;1184;27
1185;21688;1185;151
1186;9232;1186;76
1187;9232;1187;76
1188;9232;1188;76
1189;9232;1189;76
1190;9232;1190;76
1191;15280;1191;50
1192;1192;1192;27
1193;39364;1193;102
1194;1792;1194;27
1195;9232;1195;120
1196;9232;1196;120
